"Model","AUC_Train","AUC_Test","Acc_Train","Acc_Test","Generalization_Gap"
"ModT",0.847,0.8263,0.801,0.795,0.0207
"Mod1 (α=5%)",0.822,0.8188,0.785,0.775,0.0032
"Mod2 (α=20%)",0.826,0.8255,0.791,0.789,5e-04
"ModAIC",0.8185,0.8188,0.783,0.776,-3e-04
"Ridge",0.962,0.9491,0.928,0.918,0.0129
