"Model","Variables","Train_AUC","Test_AUC","AIC","Recommendation"
"ModT",173,0.9717,0.9609,1316.03,""
"Mod1 (α=5%)",50,0.9127,0.9097,2110.33,""
"Mod2 (α=20%)",57,0.9229,0.9162,2033.74,""
"ModAIC",148,0.9679,0.9623,1276.61,"⭐ SELECTED"
"Ridge",173,NA,0.9424,NA,""
