"Model","Train_Acc","Test_Acc","Parameters","OneVsRest_AUC_Mean","Recommendation"
"Multinomial","92.67%","88.95%","870",0.9774,"⭐ SELECTED"
"Neural Network (5 hidden)","97.98%","88.15%","895",NA,""
